CallID;Prompt;Utterance;ASRRecognitionStatus;#ASRSuccess;(#)ASRSuccess;%ASRSuccess;#TimeOutPrompts;(#)TimeOutPrompts;%TimeOutPrompts;#ASRRejections;(#)ASRRejections;%ASRRejections;#TimeOuts_ASRRej;(#)TimeOuts_ASRRej;%TimeOuts_ASRRej;Barged-In?;#Barge-Ins;(#)Barge-Ins;%Barge-Ins;ASRConfidence;MeanASRConfidence;(Mean)ASRConfidence;UTD;ExMo;Modality;UnExMo?;#UnExMo;(#)UnExMo;%UnExMo;WPUT;WPST;SemanticParse;HelpRequest?;#HelpRequests;(#)HelpRequest;%HelpRequest;Activity;ActivityType;DD;RoleIndex;RoleName;RePrompt?;#RePrompts;(#)RePrompts;%RePrompts;LoopName;#Exchanges;#SystemTurns;#UserTurns;#SystemQuestions;(#)SystemQuestions;SystemDialogueAct;UserDialogueAct;AudioFile;EmotionalState;IQRater1;IQRater2;IQRater3;IQMedian
2061123000; Welcome to the CMU Let's Go bus information system.;;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.51999;0.51999;0;none;;0;0;0;0;0;9;;0;0;0;0;welcome;Announcement;0.2;1;collection;0;0;0;0;initial;0;1;0;0;0;SDA_GREETING;;;;;5;5;5
2061123000; To get help at any time, just say Help or press zero.;;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.51999;0.51999;0;none;;0;0;0;0;0;12;;0;0;0;0;how_to_get_help;Announcement;0.2;1;collection;0;0;0;0;initial;1;2;0;0;0;SDA_OFFER_HELP;;;;;5;5;5
2061123000; What can I do for you?; PENN AT BUTLER TIME IS IT IS THE CENTRE AT HIGHLAND FROM RUNS THE 61A EIGHT THIRTY 61B CAN'T OAKLAND  ;complete;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0.02141;0.02141;0.02141;10.4668;speech;voice;0;0;0;0;21;6; PlaceInformation[SinglePlace] ( [stop_name] ( [covered_place] ( [registered_stop] ( [stop_part] ( BUTLER ) ) ) ) ) [SinglePlace] ( [stop_name] ( [covered_place] ( [registered_stop] ( [stop_part] ( CENTRE ) AT [stop_part] ( HIGHLAND ) ) ) ) ) [SinglePlace] ( [stop_name] ( [covered_place] ( [ambiguous_covered_place] ( [ambiguous_covered_part] ( OAKLAND ) ) ) ) );0;0;0;0;how_may_i_help_you;Question;0.2;1;collection;0;0;0;0;initial;2;3;1;1;1;SDA_ASK_BUS;UDA_LINE_INFORMATION;20061123/000/000.wav;neutral;;5;5;5
2061123000; Leaving from OAKLAND . Is this correct?; OAKLAND  ;complete;2;2;1;0;0;0;0;0;0;0;0;0;0;1;1;0.5;0.41232;0.21686;0.21686;1.25075;speech;voice;0;0;0;0;2;7;Semantic no match;0;0;0;0;/LetsGoPublic/PerformTask/query.departure_place;Confirmation;22.9;1;confimation;0;0;0;0;initial;3;4;2;1;1;SDA_ASK_CONFIRM_DEPARTURE;UDA_CONFIRM;20061123/000/001.wav;neutral;;4;5;4
2061123000; Leaving from OAKLAND . Is this correct?; YES  ;complete;3;3;1;0;0;0;0;0;0;0;0;0;0;1;1;0.33333;0.93794;0.45722;0.45722;0.97875;speech;voice;0;0;0;0;2;7; Generic[Generic] ( [Yes] ( YES ) );0;0;0;0;/LetsGoPublic/PerformTask/query.departure_place;Confirmation;28.2;2;confimation;1;1;1;0.2;Retry1;4;5;3;1;1;SDA_ASK_CONFIRM_DEPARTURE;UDA_CONFIRM_DEPARTURE;20061123/000/002.wav;neutral;;4;5;4
2061123000; Right;;;3;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0.33333;0;0.45722;0.45722;0;none;;0;0;0;0;0;1;;0;0;0;0;confirm_okay;Announcement;32.9;1;confimation;0;1;1;0.16667;initial;5;6;3;1;0;SDA_CONFIRM_UNDERSTOOD;;;;;4;5;4
2061123000; Where do you want to go?; SQUIRREL HILL OF FIFTH AVENUE  ;complete;4;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0.25;0.47653;0.46205;0.60893;2.77075;speech;voice;0;0;0;0;6;6; PlaceInformation[SinglePlace] ( [stop_name] ( [covered_place] ( [registered_stop] ( [stop_part] ( FIFTH ) AVENUE ) ) ) );0;0;0;0;query.arrival_place;Question;32.9;1;collection;0;1;1;0.14286;initial;6;7;4;2;1;SDA_ASK_DESTINATION;UDA_PLACE_INFORMATION;20061123/000/003.wav;neutral;;4;5;4
2061123000; Going to FIFTH AVENUE . Is this correct?; YES  ;complete;5;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0.2;0.93568;0.55678;0.78338;1.26675;speech;voice;0;0;0;0;2;8; Generic[Generic] ( [Yes] ( YES ) );0;0;0;0;/LetsGoPublic/PerformTask/query.arrival_place;Confirmation;39.3;1;confimation;0;1;0;0.125;initial;7;8;5;2;1;SDA_ASK_CONFIRM_DESTINATION;UDA_CONFIRM_DESTINATION;20061123/000/004.wav;neutral;;5;5;5
2061123000; Alright;;;5;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0.2;0;0.55678;0.78338;0;none;;0;0;0;0;0;1;;0;0;0;0;confirm_okay;Announcement;44.1;1;confimation;0;1;0;0.11111;initial;8;9;5;2;1;SDA_FILLER;;;;;5;5;5
2061123000; When do you wanna travel?; SUNDAY  ;complete;6;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0.16667;0.93395;0.61964;0.78205;1.41075;speech;voice;0;0;0;0;2;5; TimeInformation[3_DateTime] ( [day_time] ( [date_time] ( [day_name] ( SUNDAY ) ) ) );0;0;0;0;query.travel_time;Question;44.1;1;collection;0;1;0;0.1;initial;9;10;6;3;1;SDA_ASK_TIME;UDA_TIME_INFORMATION;20061123/000/005.wav;neutral;;5;4;4
2061123000; At what time do you wanna travel?; AT FIVE FOUR VERY ABOUT ELEVEN O'CLOCK  ;complete;7;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0.14286;0.61341;0.61875;0.82768;4.06675;speech;voice;0;0;0;0;8;7; TimeInformation[3_DateTime] ( [day_time] ( [date_time] ( ABOUT [time_range] ( [time] ( [hour] ( ELEVEN ) O'CLOCK ) ) ) ) );0;0;0;0;exact_travel_time;Question;50.4;1;collection;0;1;0;0.09091;initial;10;11;7;4;2;SDA_ASK_TIME;UDA_TIME_INFORMATION;20061123/000/006.wav;neutral;;5;4;4
